"bases","regioes","periodos","unidades_de_medida","download_ok","leitura_ok"
"mensal","SUL",2004,"GWh",TRUE,TRUE
"anual","NORDESTE",2004,"GWh",TRUE,TRUE
"mensal","NORDESTE",2004,"GWh",TRUE,TRUE
"anual","NORTE",2004,"GWh",TRUE,TRUE
"mensal","NORTE",2004,"GWh",TRUE,TRUE
"anual","SIN",2004,"GWh",TRUE,TRUE
"mensal","SIN",2004,"GWh",TRUE,TRUE
"anual","SE/CO",2005,"GWh",TRUE,TRUE
"mensal","SE/CO",2005,"GWh",TRUE,TRUE
"anual","SUL",2005,"GWh",TRUE,TRUE
"mensal","SUL",2005,"GWh",TRUE,TRUE
"anual","NORDESTE",2005,"GWh",TRUE,TRUE
"mensal","NORDESTE",2005,"GWh",TRUE,TRUE
"anual","NORTE",2005,"GWh",TRUE,TRUE
"mensal","NORTE",2005,"GWh",TRUE,TRUE
"anual","SIN",2005,"GWh",TRUE,TRUE
"mensal","SIN",2005,"GWh",TRUE,TRUE
"anual","SE/CO",2006,"GWh",TRUE,TRUE
"mensal","SE/CO",2006,"GWh",TRUE,TRUE
"anual","SUL",2006,"GWh",TRUE,TRUE
"mensal","SUL",2006,"GWh",TRUE,TRUE
"anual","NORDESTE",2006,"GWh",TRUE,TRUE
"mensal","NORDESTE",2006,"GWh",TRUE,TRUE
"anual","NORTE",2006,"GWh",TRUE,TRUE
"mensal","NORTE",2006,"GWh",TRUE,TRUE
"anual","SIN",2006,"GWh",TRUE,TRUE
"mensal","SIN",2006,"GWh",TRUE,TRUE
"anual","SE/CO",2007,"GWh",TRUE,TRUE
"mensal","SE/CO",2007,"GWh",TRUE,TRUE
"anual","SUL",2007,"GWh",TRUE,TRUE
"mensal","SUL",2007,"GWh",TRUE,TRUE
"anual","NORDESTE",2007,"GWh",TRUE,TRUE
"mensal","NORDESTE",2007,"GWh",TRUE,TRUE
"anual","NORTE",2007,"GWh",TRUE,TRUE
"mensal","NORTE",2007,"GWh",TRUE,TRUE
"anual","SIN",2007,"GWh",TRUE,TRUE
"mensal","SIN",2007,"GWh",TRUE,TRUE
"anual","SE/CO",2008,"GWh",TRUE,TRUE
